iter	Passed	Remaining
472	680	758
473	681	756
474	682	754
475	683	752
476	684	750
477	685	748
478	686	747
479	688	745
480	689	743
481	690	741
482	691	739
483	692	737
484	693	736
485	694	734
486	695	732
487	696	730
488	698	729
489	699	727
490	700	725
491	701	724
492	702	722
493	703	720
494	704	718
495	705	717
496	706	715
497	707	713
498	708	711
499	710	710
500	711	708
501	712	707
502	713	705
503	714	703
504	715	701
505	716	699
506	718	698
507	719	696
508	720	695
509	721	693
510	722	691
511	723	689
512	724	687
513	726	686
514	727	685
515	728	683
516	729	681
517	730	680
518	732	678
519	733	676
520	733	674
521	735	673
522	736	671
523	737	670
524	738	668
525	739	666
526	740	664
527	742	663
528	743	661
529	744	660
530	745	658
531	746	656
532	747	654
533	748	652
534	748	650
535	750	649
536	751	647
537	751	645
538	752	643
539	753	641
540	754	640
541	755	638
542	757	637
543	758	635
544	759	633
545	760	631
546	761	630
547	762	628
548	763	627
549	764	625
550	765	623
551	766	621
552	767	620
553	768	618
554	769	617
555	770	615
556	771	613
557	772	611
558	773	610
559	774	608
560	775	607
561	776	605
562	777	603
563	778	601
564	779	599
565	780	598
566	781	596
567	782	595
568	783	593
569	784	591
570	786	590
571	787	589
572	788	587
573	789	586
574	790	584
575	791	582
576	792	580
577	793	579
578	794	577
579	795	576
580	796	574
581	797	572
582	798	571
583	799	569
584	800	568
585	801	566
586	802	564
587	803	562
588	804	561
589	805	559
590	806	558
591	807	556
592	808	554
593	809	553
594	810	551
595	811	549
596	812	548
597	813	547
598	814	545
599	815	543
600	816	542
601	817	540
602	819	539
603	820	537
604	821	536
605	822	534
606	823	532
607	824	531
608	825	529
609	826	528
610	827	526
611	828	525
612	829	523
613	830	522
614	831	520
615	832	519
616	833	517
617	834	515
618	835	514
619	836	512
620	837	510
621	838	509
622	839	507
623	840	506
624	840	504
625	841	502
626	842	501
627	843	499
628	844	498
629	846	496
630	846	495
631	848	493
632	849	492
633	850	490
634	851	489
635	852	487
636	853	486
637	854	484
638	856	483
639	857	482
640	858	480
641	860	479
642	861	478
643	863	477
644	864	475
645	865	474
646	866	472
647	867	471
648	868	469
649	870	468
650	871	467
651	872	465
652	873	464
653	874	462
654	875	461
655	877	460
656	878	458
657	879	457
658	880	455
659	881	454
660	883	452
661	884	451
662	885	450
663	886	448
664	887	447
665	889	445
666	890	444
667	891	442
668	892	441
669	893	439
670	894	438
671	895	437
672	896	435
673	897	434
674	898	432
675	899	430
676	900	429
677	901	428
678	902	426
679	903	425
680	905	423
681	906	422
682	907	421
683	908	419
684	910	418
685	911	417
686	912	415
687	913	414
688	915	413
689	915	411
690	917	410
691	918	408
692	919	407
693	920	405
694	921	404
695	922	402
696	923	401
697	924	400
698	926	398
699	927	397
700	928	396
701	929	394
702	930	393
703	931	391
704	932	390
705	933	388
706	935	387
707	936	386
708	937	384
709	938	383
710	939	381
711	940	380
712	942	379
713	943	377
714	944	376
715	945	375
716	946	373
717	947	372
718	948	370
719	950	369
720	951	368
721	952	366
722	953	365
723	954	363
724	955	362
725	956	361
726	957	359
727	959	358
728	960	356
729	961	355
730	962	354
731	963	352
732	964	351
733	965	349
734	967	348
735	968	347
736	969	345
737	970	344
738	971	343
739	972	341
740	973	340
741	974	338
742	975	337
743	976	336
744	977	334
745	978	333
746	979	331
747	980	330
748	981	328
749	982	327
750	983	326
751	984	324
752	985	323
753	986	321
754	987	320
755	988	319
756	989	317
757	990	316
758	992	315
759	993	313
760	994	312
761	995	310
762	995	309
763	997	308
764	998	306
765	999	305
766	1000	303
767	1001	302
768	1001	300
769	1003	299
770	1004	298
771	1005	297
772	1006	295
773	1007	294
774	1008	292
775	1009	291
776	1010	290
777	1011	288
778	1012	287
779	1013	285
780	1014	284
781	1015	283
782	1016	281
783	1018	280
784	1019	279
785	1020	277
786	1021	276
787	1022	275
788	1023	273
789	1024	272
790	1025	270
791	1026	269
792	1027	268
793	1028	266
794	1029	265
795	1030	264
796	1031	262
797	1032	261
798	1033	260
799	1034	258
800	1036	257
801	1037	256
802	1038	254
803	1039	253
804	1041	252
805	1042	250
806	1043	249
807	1044	248
808	1045	246
809	1046	245
810	1048	244
811	1049	242
812	1050	241
813	1051	240
814	1052	238
815	1053	237
816	1054	236
817	1055	234
818	1056	233
819	1058	232
820	1059	230
821	1060	229
822	1061	228
823	1062	226
824	1063	225
825	1064	224
826	1066	223
827	1067	221
828	1068	220
829	1069	219
830	1070	217
831	1071	216
832	1072	215
833	1073	213
834	1075	212
835	1076	211
836	1077	209
837	1078	208
838	1079	207
839	1081	205
840	1082	204
841	1083	203
842	1085	202
843	1086	200
844	1087	199
845	1088	198
846	1089	196
847	1091	195
848	1092	194
849	1093	192
850	1094	191
851	1095	190
852	1097	189
853	1098	187
854	1099	186
855	1100	185
856	1101	183
857	1102	182
858	1104	181
859	1106	180
860	1107	178
861	1108	177
862	1109	176
863	1110	174
864	1112	173
865	1113	172
866	1114	170
867	1115	169
868	1116	168
869	1118	167
870	1119	165
871	1120	164
872	1121	163
873	1123	161
874	1124	160
875	1125	159
876	1126	158
877	1127	156
878	1128	155
879	1129	154
880	1131	152
881	1132	151
882	1134	150
